Supplementary Dataset S6: Prediction of effector proteins among BSPs using EffectorP and DeepRedEff.,,,
GeneID,EffectorP3,EffectorP3_fungi,Deepredeff
Bcin01g06790,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g06860,Non-effector,Non-effector,effector
Bcin01g06900,Non-effector,Non-effector,non-effector
Bcin01g07190,Non-effector,Non-effector,effector
Bcin01g07200,Non-effector,Non-effector,effector
Bcin01g07210,Non-effector,Non-effector,effector
Bcin01g07250,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g07320,Non-effector,Non-effector,non-effector
Bcin01g07330,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g07350,Non-effector,Non-effector,non-effector
Bcin01g07380,Non-effector,Non-effector,effector
Bcin01g07500,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin01g07530,Non-effector,Non-effector,non-effector
Bcin01g07900,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin01g07950,Non-effector,Non-effector,effector
Bcin01g08110,Non-effector,Non-effector,effector
Bcin01g08910,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g09020,Non-effector,Non-effector,non-effector
Bcin01g09180,Apoplastic effector,Apoplastic effector,effector
Bcin01g09200,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin01g09430,Non-effector,Non-effector,effector
Bcin01g10110,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin01g10830,Non-effector,Non-effector,non-effector
Bcin01g10850,Non-effector,Non-effector,non-effector
Bcin01g10940,Non-effector,Non-effector,non-effector
Bcin01g11160,Apoplastic effector,Apoplastic effector,non-effector
Bcin01g11220,Non-effector,Non-effector,non-effector
Bcin01g11290,Non-effector,Non-effector,non-effector
Bcin01g11300,Non-effector,Non-effector,effector
Bcin01g11330,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin02g00018,Non-effector,Non-effector,effector
Bcin02g00070,Non-effector,Non-effector,effector
Bcin02g00210,Non-effector,Non-effector,effector
Bcin02g00280,Non-effector,Non-effector,effector
Bcin02g00350,Non-effector,Non-effector,effector
Bcin02g00430,Non-effector,Non-effector,non-effector
Bcin02g00440,Apoplastic effector,Apoplastic effector,effector
Bcin02g00580,Non-effector,Non-effector,non-effector
Bcin02g00700,Non-effector,Non-effector,non-effector
Bcin02g00800,Cytoplasmic effector,Non-effector,effector
Bcin02g01190,Non-effector,Non-effector,non-effector
Bcin02g01230,Apoplastic effector,Apoplastic/cytoplasmic effector,non-effector
Bcin02g01420,Apoplastic effector,Apoplastic effector,effector
Bcin02g01640,Non-effector,Non-effector,effector
Bcin02g01960,Apoplastic effector,Apoplastic effector,non-effector
Bcin02g02040,Non-effector,Non-effector,non-effector
Bcin02g02120,Non-effector,Non-effector,effector
Bcin02g02210,Non-effector,Non-effector,non-effector
Bcin02g02410,Non-effector,Non-effector,effector
Bcin02g02430,Non-effector,Non-effector,non-effector
Bcin02g02440,Non-effector,Non-effector,non-effector
Bcin02g02450,Apoplastic effector,Apoplastic effector,effector
Bcin02g02480,Non-effector,Non-effector,effector
Bcin02g03090,Non-effector,Non-effector,effector
Bcin02g03430,Non-effector,Non-effector,non-effector
Bcin02g03840,Non-effector,Non-effector,non-effector
Bcin02g04030,Apoplastic effector,Apoplastic effector,non-effector
Bcin02g04040,Apoplastic effector,Apoplastic effector,effector
Bcin02g04050,Cytoplasmic/apoplastic effector,Cytoplasmic/apoplastic effector,non-effector
Bcin02g04090,Apoplastic effector,Apoplastic effector,non-effector
Bcin02g04290,Apoplastic effector,Apoplastic effector,effector
Bcin02g04320,Non-effector,Non-effector,non-effector
Bcin02g04350,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin02g04400,Non-effector,Non-effector,effector
Bcin02g04440,Apoplastic effector,Apoplastic effector,effector
Bcin02g04550,Non-effector,Non-effector,effector
Bcin02g04640,Apoplastic effector,Apoplastic effector,effector
Bcin02g04660,Apoplastic effector,Apoplastic effector,effector
Bcin02g04800,Non-effector,Non-effector,effector
Bcin02g05060,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin02g05270,Non-effector,Non-effector,effector
Bcin02g05300,Non-effector,Non-effector,non-effector
Bcin02g05330,Non-effector,Non-effector,effector
Bcin02g05340,Cytoplasmic effector,Non-effector,effector
Bcin02g05360,Non-effector,Non-effector,non-effector
Bcin02g05600,Apoplastic effector,Apoplastic effector,effector
Bcin02g05610,Non-effector,Non-effector,effector
Bcin02g05630,Non-effector,Non-effector,effector
Bcin02g05790,Non-effector,Cytoplasmic effector,effector
Bcin02g05860,Apoplastic effector,Apoplastic effector,effector
Bcin02g06340,Non-effector,Non-effector,non-effector
Bcin02g06610,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin02g06910,Non-effector,Non-effector,non-effector
Bcin02g06940,Non-effector,Non-effector,non-effector
Bcin02g07070,Non-effector,Non-effector,non-effector
Bcin02g07080,Non-effector,Non-effector,non-effector
Bcin02g07100,Apoplastic effector,Apoplastic effector,non-effector
Bcin02g07310,Non-effector,Non-effector,non-effector
Bcin02g07470,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin02g07520,Non-effector,Non-effector,effector
Bcin02g07600,Cytoplasmic effector,Non-effector,non-effector
Bcin02g07630,Non-effector,Non-effector,effector
Bcin02g07640,Non-effector,Non-effector,effector
Bcin02g07700,Apoplastic effector,Apoplastic effector,non-effector
Bcin02g07770,Apoplastic effector,Apoplastic effector,non-effector
Bcin02g07970,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin02g08230,Non-effector,Non-effector,effector
Bcin02g08380,Non-effector,Non-effector,effector
Bcin02g08590,Non-effector,Non-effector,non-effector
Bcin02g08800,Non-effector,Non-effector,non-effector
Bcin02g08970,Non-effector,Non-effector,non-effector
Bcin02g09380,Non-effector,Non-effector,non-effector
Bcin03g00280,Apoplastic effector,Apoplastic effector,effector
Bcin03g00290,Non-effector,Non-effector,effector
Bcin03g00320,Non-effector,Non-effector,effector
Bcin03g00340,Non-effector,Non-effector,non-effector
Bcin03g00380,Non-effector,Non-effector,non-effector
Bcin03g00480,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g00500,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g00680,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g00890,Non-effector,Non-effector,effector
Bcin03g01080,Non-effector,Non-effector,effector
Bcin03g01250,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g01310,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin03g01440,Non-effector,Non-effector,non-effector
Bcin03g01460,Non-effector,Non-effector,effector
Bcin03g01540,Non-effector,Non-effector,effector
Bcin03g01580,Non-effector,Non-effector,effector
Bcin03g01600,Apoplastic effector,Apoplastic effector,effector
Bcin03g01680,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g01810,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin03g01940,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin03g02030,Non-effector,Non-effector,effector
Bcin03g02040,Non-effector,Non-effector,effector
Bcin03g02110,Non-effector,Non-effector,effector
Bcin03g02710,Non-effector,Non-effector,non-effector
Bcin03g02760,Non-effector,Non-effector,non-effector
Bcin03g02970,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g03180,Non-effector,Non-effector,effector
Bcin03g03300,Non-effector,Non-effector,effector
Bcin03g03470,Non-effector,Non-effector,effector
Bcin03g03480,Non-effector,Non-effector,non-effector
Bcin03g03540,Non-effector,Non-effector,effector
Bcin03g03630,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g03830,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g03870,Non-effector,Non-effector,non-effector
Bcin03g03990,Non-effector,Non-effector,non-effector
Bcin03g04010,Non-effector,Non-effector,effector
Bcin03g04310,Non-effector,Non-effector,non-effector
Bcin03g04430,Cytoplasmic effector,Non-effector,non-effector
Bcin03g05060,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g05200,Non-effector,Non-effector,effector
Bcin03g05260,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin03g05290,Non-effector,Non-effector,effector
Bcin03g05590,Non-effector,Non-effector,effector
Bcin03g05600,Non-effector,Non-effector,effector
Bcin03g05610,Non-effector,Non-effector,non-effector
Bcin03g05720,Non-effector,Non-effector,non-effector
Bcin03g05800,Non-effector,Non-effector,effector
Bcin03g05820,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g05870,Non-effector,Non-effector,non-effector
Bcin03g05890,Apoplastic effector,Apoplastic effector,effector
Bcin03g06330,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g06740,Cytoplasmic effector,Non-effector,non-effector
Bcin03g06930,Non-effector,Non-effector,effector
Bcin03g07060,Non-effector,Non-effector,effector
Bcin03g07320,Non-effector,Non-effector,non-effector
Bcin03g07340,Non-effector,Non-effector,effector
Bcin03g07360,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g07580,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin03g07730,Non-effector,Non-effector,effector
Bcin03g08030,Apoplastic effector,Apoplastic effector,non-effector
Bcin03g08230,Cytoplasmic effector,Non-effector,effector
Bcin03g08710,Non-effector,Non-effector,effector
Bcin03g09310,Non-effector,Non-effector,effector
Bcin04g00270,Non-effector,Non-effector,non-effector
Bcin04g00360,Apoplastic effector,Apoplastic effector,effector
Bcin04g00420,Non-effector,Non-effector,non-effector
Bcin04g00460,Apoplastic effector,Apoplastic effector,non-effector
Bcin04g00470,Apoplastic effector,Apoplastic effector,non-effector
Bcin04g01220,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin04g01310,Non-effector,Non-effector,effector
Bcin04g01980,Non-effector,Non-effector,non-effector
Bcin04g02310,Non-effector,Non-effector,non-effector
Bcin04g02460,Non-effector,Non-effector,non-effector
Bcin04g02480,Apoplastic effector,Apoplastic effector,effector
Bcin04g02520,Non-effector,Non-effector,non-effector
Bcin04g02570,Apoplastic/cytoplasmic effector,Apoplastic/cytoplasmic effector,effector
Bcin04g02690,Non-effector,Non-effector,effector
Bcin04g02950,Cytoplasmic effector,Non-effector,effector
Bcin04g03440,Cytoplasmic effector,Non-effector,non-effector
Bcin04g03460,Non-effector,Non-effector,non-effector
Bcin04g03510,Non-effector,Non-effector,non-effector
Bcin04g03620,Apoplastic effector,Apoplastic effector,non-effector
Bcin04g03920,Apoplastic effector,Apoplastic effector,effector
Bcin04g04030,Non-effector,Non-effector,non-effector
Bcin04g04590,Non-effector,Non-effector,effector
Bcin04g04760,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin04g04830,Non-effector,Non-effector,non-effector
Bcin04g04900,Non-effector,Non-effector,non-effector
Bcin04g04930,Apoplastic effector,Apoplastic effector,non-effector
Bcin04g05020,Non-effector,Non-effector,non-effector
Bcin04g05140,Non-effector,Non-effector,effector
Bcin04g05270,Non-effector,Non-effector,effector
Bcin04g05430,Non-effector,Non-effector,effector
Bcin04g05490,Non-effector,Non-effector,non-effector
Bcin04g05580,Non-effector,Non-effector,effector
Bcin04g05650,Non-effector,Non-effector,effector
Bcin04g05960,Non-effector,Non-effector,non-effector
Bcin04g06020,Non-effector,Non-effector,effector
Bcin04g06050,Non-effector,Non-effector,non-effector
Bcin04g06150,Non-effector,Non-effector,effector
Bcin04g06250,Non-effector,Non-effector,non-effector
Bcin04g06590,Apoplastic effector,Apoplastic effector,effector
Bcin04g06630,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin04g06650,Non-effector,Non-effector,non-effector
Bcin04g06730,Non-effector,Non-effector,effector
Bcin04g06770,Non-effector,Non-effector,effector
Bcin04g06860,Non-effector,Non-effector,effector
Bcin04g06920,Non-effector,Non-effector,non-effector
Bcin04g06980,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin04g06990,Apoplastic effector,Apoplastic effector,non-effector
Bcin05g00040,Non-effector,Non-effector,non-effector
Bcin05g00100,Apoplastic effector,Apoplastic effector,effector
Bcin05g00150,Non-effector,Non-effector,non-effector
Bcin05g00310,Non-effector,Non-effector,non-effector
Bcin05g00410,Apoplastic effector,Apoplastic effector,non-effector
Bcin05g00590,Non-effector,Non-effector,non-effector
Bcin05g00860,Non-effector,Non-effector,non-effector
Bcin05g01450,Non-effector,Non-effector,non-effector
Bcin05g01460,Apoplastic effector,Cytoplasmic/apoplastic effector,non-effector
Bcin05g01510,Apoplastic effector,Apoplastic effector,non-effector
Bcin05g01750,Non-effector,Non-effector,non-effector
Bcin05g01770,Non-effector,Non-effector,non-effector
Bcin05g01970,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin05g02410,Non-effector,Non-effector,non-effector
Bcin05g02430,Non-effector,Non-effector,effector
Bcin05g02440,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin05g02520,Apoplastic effector,Apoplastic effector,effector
Bcin05g02550,Apoplastic effector,Apoplastic effector,effector
Bcin05g03390,Non-effector,Non-effector,non-effector
Bcin05g03460,Non-effector,Non-effector,effector
Bcin05g03580,Non-effector,Non-effector,effector
Bcin05g03680,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin05g03870,Apoplastic effector,Apoplastic effector,effector
Bcin05g03990,Non-effector,Non-effector,effector
Bcin05g04010,Non-effector,Non-effector,effector
Bcin05g04190,Apoplastic effector,Apoplastic effector,effector
Bcin05g04210,Cytoplasmic effector,Non-effector,effector
Bcin05g04770,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin05g04800,Apoplastic effector,Apoplastic effector,non-effector
Bcin05g04860,Cytoplasmic effector,Non-effector,effector
Bcin05g04950,Non-effector,Non-effector,effector
Bcin05g05110,Non-effector,Non-effector,effector
Bcin05g05160,Non-effector,Non-effector,non-effector
Bcin05g05310,Non-effector,Non-effector,effector
Bcin05g05320,Non-effector,Non-effector,non-effector
Bcin05g05420,Non-effector,Non-effector,effector
Bcin05g05830,Non-effector,Non-effector,non-effector
Bcin05g05900,Non-effector,Non-effector,non-effector
Bcin05g05950,Non-effector,Non-effector,effector
Bcin05g06020,Non-effector,Non-effector,effector
Bcin05g06510,Non-effector,Non-effector,non-effector
Bcin05g06830,Non-effector,Non-effector,effector
Bcin05g07100,Non-effector,Non-effector,effector
Bcin05g07630,Non-effector,Non-effector,effector
Bcin05g07690,Non-effector,Non-effector,effector
Bcin05g08090,Cytoplasmic effector,Non-effector,effector
Bcin05g08130,Non-effector,Non-effector,non-effector
Bcin05g08230,Non-effector,Non-effector,non-effector
Bcin05g08240,Apoplastic effector,Apoplastic effector,non-effector
Bcin05g08270,Non-effector,Non-effector,effector
Bcin05g08330,Apoplastic effector,Apoplastic effector,non-effector
Bcin05g08370,Cytoplasmic effector,Non-effector,effector
Bcin06g00010,Non-effector,Cytoplasmic effector,effector
Bcin06g00170,Apoplastic effector,Apoplastic effector,effector
Bcin06g00180,Apoplastic effector,Apoplastic effector,effector
Bcin06g00190,Apoplastic/cytoplasmic effector,Apoplastic/cytoplasmic effector,effector
Bcin06g00280,Apoplastic effector,Cytoplasmic/apoplastic effector,effector
Bcin06g00330,Non-effector,Non-effector,non-effector
Bcin06g00400,Non-effector,Non-effector,effector
Bcin06g00420,Non-effector,Non-effector,non-effector
Bcin06g00480,Apoplastic effector,Apoplastic effector,effector
Bcin06g00490,Non-effector,Non-effector,effector
Bcin06g00500,Cytoplasmic/apoplastic effector,Cytoplasmic/apoplastic effector,non-effector
Bcin06g00510,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin06g00520,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin06g00540,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g00550,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g00630,Non-effector,Non-effector,effector
Bcin06g00660,Non-effector,Non-effector,non-effector
Bcin06g00680,Non-effector,Non-effector,effector
Bcin06g00890,Non-effector,Non-effector,non-effector
Bcin06g00930,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g00960,Non-effector,Non-effector,effector
Bcin06g01000,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g01010,Non-effector,Non-effector,effector
Bcin06g01240,Non-effector,Non-effector,non-effector
Bcin06g01300,Non-effector,Non-effector,effector
Bcin06g01440,Non-effector,Non-effector,effector
Bcin06g01580,Non-effector,Non-effector,effector
Bcin06g01600,Non-effector,Non-effector,effector
Bcin06g01630,Non-effector,Non-effector,non-effector
Bcin06g01720,Non-effector,Non-effector,effector
Bcin06g01760,Cytoplasmic effector,Non-effector,effector
Bcin06g01780,Non-effector,Non-effector,effector
Bcin06g01790,Non-effector,Non-effector,non-effector
Bcin06g01930,Non-effector,Non-effector,effector
Bcin06g01950,Non-effector,Non-effector,non-effector
Bcin06g02140,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g02510,Non-effector,Non-effector,non-effector
Bcin06g02690,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin06g02910,Apoplastic/cytoplasmic effector,Apoplastic/cytoplasmic effector,effector
Bcin06g03070,Non-effector,Non-effector,non-effector
Bcin06g03140,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin06g03160,Apoplastic effector,Apoplastic effector,effector
Bcin06g03730,Non-effector,Cytoplasmic effector,effector
Bcin06g03740,Non-effector,Cytoplasmic effector,effector
Bcin06g03770,Non-effector,Non-effector,effector
Bcin06g03840,Apoplastic effector,Apoplastic effector,effector
Bcin06g03920,Non-effector,Non-effector,effector
Bcin06g03960,Non-effector,Non-effector,non-effector
Bcin06g04290,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g04500,Non-effector,Non-effector,non-effector
Bcin06g04650,Apoplastic effector,Apoplastic effector,effector
Bcin06g04750,Non-effector,Non-effector,non-effector
Bcin06g04830,Non-effector,Non-effector,effector
Bcin06g04910,Cytoplasmic/apoplastic effector,Cytoplasmic/apoplastic effector,effector
Bcin06g05050,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g05090,Non-effector,Non-effector,non-effector
Bcin06g05120,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin06g05200,Non-effector,Non-effector,non-effector
Bcin06g05370,Non-effector,Non-effector,effector
Bcin06g05540,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin06g05730,Cytoplasmic effector,Non-effector,effector
Bcin06g05980,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g06040,Apoplastic effector,Apoplastic effector,effector
Bcin06g06090,Non-effector,Non-effector,effector
Bcin06g06410,Non-effector,Non-effector,effector
Bcin06g06520,Non-effector,Non-effector,non-effector
Bcin06g06580,Non-effector,Non-effector,effector
Bcin06g06670,Non-effector,Non-effector,non-effector
Bcin06g06720,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g06940,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin06g07000,Non-effector,Non-effector,non-effector
Bcin06g07010,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g07020,Non-effector,Non-effector,effector
Bcin06g07050,Apoplastic effector,Apoplastic effector,non-effector
Bcin06g07150,Non-effector,Non-effector,effector
Bcin06g07340,Non-effector,Non-effector,effector
Bcin06g07500,Non-effector,Non-effector,effector
Bcin07g00060,Non-effector,Non-effector,effector
Bcin07g00320,Non-effector,Cytoplasmic effector,non-effector
Bcin07g00710,Non-effector,Non-effector,non-effector
Bcin07g00780,Apoplastic effector,Apoplastic effector,non-effector
Bcin07g00890,Non-effector,Non-effector,non-effector
Bcin07g01040,Non-effector,Non-effector,non-effector
Bcin07g01070,Non-effector,Non-effector,effector
Bcin07g01090,Non-effector,Non-effector,effector
Bcin07g01110,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin07g01410,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin07g01720,Non-effector,Non-effector,effector
Bcin07g02030,Non-effector,Cytoplasmic effector,effector
Bcin07g02280,Apoplastic effector,Apoplastic effector,effector
Bcin07g02510,Apoplastic effector,Apoplastic effector,non-effector
Bcin07g02650,Non-effector,Non-effector,effector
Bcin07g02670,Non-effector,Non-effector,non-effector
Bcin07g02730,Non-effector,Non-effector,effector
Bcin07g02810,Non-effector,Non-effector,non-effector
Bcin07g02860,Apoplastic effector,Apoplastic effector,effector
Bcin07g02940,Non-effector,Non-effector,effector
Bcin07g02950,Apoplastic effector,Apoplastic effector,non-effector
Bcin07g03120,Apoplastic effector,Apoplastic effector,effector
Bcin07g03750,Apoplastic effector,Cytoplasmic/apoplastic effector,effector
Bcin07g03770,Apoplastic effector,Apoplastic effector,non-effector
Bcin07g03820,Non-effector,Non-effector,non-effector
Bcin07g03980,Non-effector,Non-effector,effector
Bcin07g04000,Non-effector,Non-effector,effector
Bcin07g04030,Apoplastic effector,Apoplastic effector,non-effector
Bcin07g04370,Non-effector,Non-effector,non-effector
Bcin07g04440,Apoplastic effector,Apoplastic effector,effector
Bcin07g04770,Non-effector,Non-effector,effector
Bcin07g04810,Non-effector,Non-effector,non-effector
Bcin07g04870,Non-effector,Non-effector,non-effector
Bcin07g05440,Non-effector,Non-effector,effector
Bcin07g05850,Apoplastic effector,Apoplastic effector,non-effector
Bcin07g06190,Non-effector,Non-effector,effector
Bcin07g06380,Non-effector,Non-effector,effector
Bcin07g06480,Non-effector,Non-effector,non-effector
Bcin07g06590,Apoplastic effector,Apoplastic effector,non-effector
Bcin07g06600,Non-effector,Non-effector,effector
Bcin07g06740,Non-effector,Non-effector,effector
Bcin07g06770,Apoplastic effector,Apoplastic effector,effector
Bcin07g06780,Non-effector,Non-effector,non-effector
Bcin07g06950,Non-effector,Non-effector,non-effector
Bcin07g07050,Non-effector,Non-effector,effector
Bcin07g07080,Non-effector,Non-effector,non-effector
Bcin08g00020,Apoplastic effector,Apoplastic effector,effector
Bcin08g00040,Apoplastic effector,Apoplastic effector,effector
Bcin08g00140,Non-effector,Non-effector,effector
Bcin08g00150,Non-effector,Non-effector,non-effector
Bcin08g00280,Non-effector,Non-effector,non-effector
Bcin08g00400,Apoplastic effector,Apoplastic effector,non-effector
Bcin08g00570,Apoplastic effector,Apoplastic effector,effector
Bcin08g00720,Non-effector,Non-effector,non-effector
Bcin08g00890,Non-effector,Non-effector,effector
Bcin08g00910,Non-effector,Non-effector,non-effector
Bcin08g00940,Apoplastic effector,Apoplastic/cytoplasmic effector,non-effector
Bcin08g00950,Apoplastic effector,Apoplastic effector,effector
Bcin08g00990,Apoplastic effector,Apoplastic effector,non-effector
Bcin08g01020,Non-effector,Non-effector,effector
Bcin08g01100,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin08g01140,Apoplastic effector,Apoplastic effector,effector
Bcin08g01580,Apoplastic effector,Apoplastic effector,non-effector
Bcin08g01900,Non-effector,Non-effector,non-effector
Bcin08g01930,Non-effector,Non-effector,effector
Bcin08g02110,Non-effector,Non-effector,non-effector
Bcin08g02120,Non-effector,Non-effector,effector
Bcin08g02130,Non-effector,Non-effector,non-effector
Bcin08g02160,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin08g02380,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin08g02390,Non-effector,Non-effector,non-effector
Bcin08g02470,Apoplastic effector,Apoplastic effector,non-effector
Bcin08g02680,Non-effector,Non-effector,non-effector
Bcin08g02970,Apoplastic effector,Apoplastic effector,effector
Bcin08g02990,Non-effector,Non-effector,effector
Bcin08g03110,Non-effector,Non-effector,non-effector
Bcin08g03320,Non-effector,Non-effector,effector
Bcin08g03410,Non-effector,Non-effector,non-effector
Bcin08g03570,Non-effector,Non-effector,non-effector
Bcin08g03760,Non-effector,Non-effector,effector
Bcin08g03820,Apoplastic effector,Apoplastic effector,effector
Bcin08g03940,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin08g03970,Non-effector,Non-effector,non-effector
Bcin08g03990,Non-effector,Non-effector,effector
Bcin08g04100,Non-effector,Non-effector,non-effector
Bcin08g04280,Non-effector,Non-effector,effector
Bcin08g04320,Non-effector,Non-effector,non-effector
Bcin08g04440,Non-effector,Non-effector,non-effector
Bcin08g04590,Non-effector,Non-effector,non-effector
Bcin08g04700,Non-effector,Non-effector,effector
Bcin08g04810,Non-effector,Non-effector,effector
Bcin08g05010,Non-effector,Non-effector,effector
Bcin08g05020,Non-effector,Non-effector,effector
Bcin08g05080,Cytoplasmic effector,Cytoplasmic effector,non-effector
Bcin08g05280,Non-effector,Non-effector,effector
Bcin08g05370,Non-effector,Cytoplasmic effector,non-effector
Bcin08g05450,Non-effector,Non-effector,effector
Bcin08g05480,Non-effector,Non-effector,effector
Bcin08g05540,Non-effector,Non-effector,effector
Bcin08g05870,Non-effector,Non-effector,effector
Bcin08g05990,Cytoplasmic effector,Cytoplasmic effector,effector
Bcin08g06100,Non-effector,Non-effector,non-effector
Bcin08g06110,Non-effector,Non-effector,non-effector
Bcin08g06140,Non-effector,Non-effector,non-effector
Bcin08g06160,Non-effector,Non-effector,effector
Bcin08g06830,Non-effector,Non-effector,effector
Bcin08g06900,Apoplastic effector,Apoplastic/cytoplasmic effector,effector
Bcin08g07050,Apoplastic effector,Apoplastic effector,effector
Bcin08g07090,Apoplastic effector,Apoplastic effector,non-effector
Bcin08g07120,Non-effector,Non-effector,effector
Bcin09g00190,Non-effector,Non-effector,non-effector
Bcin09g00200,Non-effector,Non-effector,non-effector
Bcin09g00220,Apoplastic effector,Apoplastic effector,effector
