"","Enrichment.FDR","nGenes","Pathway.Genes","Fold.Enrichment","Pathway","URL","Genes","cluster"
"14",0.000214272386639093,19,2169,3.27060047599467,"GO:0009628 Response to abiotic stimulus ","https://amigo.geneontology.org/amigo/term/GO:0009628"," STZ  CML38  UCP5  AT3G10020  AT3G23170  HSP18.2  HB31  CAT3  AT1G35210  WRKY54  AT3G43670  PRXCB  CP12-2  ARCK1  GLB3  KCS16  AT5G51190  JAZ1  AT1G65690",1
"15",3.7588966288643e-05,25,2995,3.11656815413076,"GO:0042221 Response to chemical ","https://amigo.geneontology.org/amigo/term/GO:0042221"," STZ  CML38  UCP5  AT3G10020  AT3G23170  JAZ1  CAT3  HSP18.2  AT1G65690  AT2G04100  WRKY54  PRXCB  ABO1  AT5G15180  IAA28  AT5G51190  AT3G43670  CP12-2  ARCK1  CRK19  AT1G47370  HIPP20  HMA3  WRKY38  GLB3",1
"16",3.49690907903412e-06,31,3912,2.95866840767148,"GO:0006950 Response to stress ","https://amigo.geneontology.org/amigo/term/GO:0006950"," STZ  CML38  UCP5  AT3G10020  AT3G23170  JAZ1  CAT3  CRK19  CYP81K2  HSP18.2  SBT3.3  AT1G47370  SCRL7  WRKY54  RLP42  PRXCB  ARCK1  RPS2  AT5G15180  AT3G43670  CP12-2  GLB3  AT5G51190  SYP122  AT1G65690  HIPP20  AT3G16670  HMA3  ABO1  AT5G22540  WRKY38",1
"17",0.0312584735186736,1,8,1726.8125,"GO:0010336 Gibberellic acid homeostasis ","https://amigo.geneontology.org/amigo/term/GO:0010336"," WSIP2",2
"18",0.0312584735186736,1,13,1062.65384615385,"GO:0009938 Neg. reg. of gibberellic acid mediated signaling pathway ","https://amigo.geneontology.org/amigo/term/GO:0009938"," WSIP2",2
"19",0.0312584735186736,1,15,920.966666666667,"GO:0010072 Primary shoot apical meristem specification ","https://amigo.geneontology.org/amigo/term/GO:0010072"," WSIP2",2
"20",0.0312584735186736,1,22,627.931818181818,"GO:0090421 Embryonic meristem initiation ","https://amigo.geneontology.org/amigo/term/GO:0090421"," WSIP2",2
"21",0.0325544252048802,1,32,431.703125,"GO:0048508 Embryonic meristem development ","https://amigo.geneontology.org/amigo/term/GO:0048508"," WSIP2",2
"22",0.0325544252048802,1,35,394.7,"GO:0010014 Meristem initiation ","https://amigo.geneontology.org/amigo/term/GO:0010014"," WSIP2",2
"23",0.0455126451249992,1,65,212.530769230769,"GO:0055088 Lipid homeostasis ","https://amigo.geneontology.org/amigo/term/GO:0055088"," WSIP2",2
"24",0.0455126451249992,1,71,194.570422535211,"GO:0009933 Meristem structural organization ","https://amigo.geneontology.org/amigo/term/GO:0009933"," WSIP2",2
"25",0.0455126451249992,1,83,166.439759036145,"GO:0048532 Anatomical structure arrangement ","https://amigo.geneontology.org/amigo/term/GO:0048532"," WSIP2",2
"26",0.0455126451249992,1,88,156.982954545455,"GO:0009740 Gibberellic acid mediated signaling pathway ","https://amigo.geneontology.org/amigo/term/GO:0009740"," WSIP2",2
"27",0.0455126451249992,1,91,151.807692307692,"GO:0010476 Gibberellin mediated signaling pathway ","https://amigo.geneontology.org/amigo/term/GO:0010476"," WSIP2",2
"28",0.0455126451249992,1,101,136.777227722772,"GO:0071370 Cellular response to gibberellin stimulus ","https://amigo.geneontology.org/amigo/term/GO:0071370"," WSIP2",2
"29",0.0455126451249992,1,108,127.912037037037,"GO:0009968 Neg. reg. of signal transduction ","https://amigo.geneontology.org/amigo/term/GO:0009968"," WSIP2",2
"30",0.0455126451249992,1,112,123.34375,"GO:0010648 Neg. reg. of cell communication ","https://amigo.geneontology.org/amigo/term/GO:0010648"," WSIP2",2
"31",0.0455126451249992,1,112,123.34375,"GO:0023057 Neg. reg. of signaling ","https://amigo.geneontology.org/amigo/term/GO:0023057"," WSIP2",2
"32",0.040906435985265,2,12,80.7865497076023,"GO:0071423 Malate transmembrane transport ","https://amigo.geneontology.org/amigo/term/GO:0071423"," ALMT6  ALMT1",4
"33",0.023941388640895,4,104,18.6430499325236,"GO:0010119 Reg. of stomatal movement ","https://amigo.geneontology.org/amigo/term/GO:0010119"," MPK12  AT4G14480  TGG2  TGG1",4
"34",0.040906435985265,4,159,12.1941961822796,"GO:0010118 Stomatal movement ","https://amigo.geneontology.org/amigo/term/GO:0010118"," MPK12  AT4G14480  TGG2  TGG1",4
"35",2.61821531596839e-14,16,90,18.676130122518,"GO:0009627 Systemic acquired resistance ","https://amigo.geneontology.org/amigo/term/GO:0009627"," AT3G48080  EDS1  PAD4  NIMIN1  PNP-A  NIMIN-2  AT5G55450  AT5G55460  AT1G09750  EDS16  PR5  SARD1  CBP60G  WRKY33  WRKY70  AT5G10760",5
"36",4.40461325299789e-16,22,183,12.6293502877683,"GO:0009751 Response to salicylic acid ","https://amigo.geneontology.org/amigo/term/GO:0009751"," AT3G48080  EDS1  PAD4  WAK2  WRKY70  ACD6  AT4G14390  WAK1  NUDT6  LURP1  WRKY60  RLK  WRKY46  CRK4  HR4  CPK31  AT4G10500  CRK5  AT5G08760  DMR6  ANK  PCC1",5
"37",1.07581501804553e-21,36,407,9.29217776366065,"GO:0042742 Defense response to bacterium ","https://amigo.geneontology.org/amigo/term/GO:0042742"," RLK  CRK4  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  WRKY60  AT5G24210  AT5G25440  WRKY51  NIMIN1  EXO70B2  SARD1  EDS16  RLP23  WRKY33  WRKY46  SDR3  NDR1  EDS1  PAD4  WRKY70  SIB1  NUDT7  ACD6  AT4G22305  HAE  CSA1  DMR6  CBP60G  CNI1  AT5G45410",5
"38",2.59225540811466e-25,43,509,8.87483098896666,"GO:0009617 Response to bacterium ","https://amigo.geneontology.org/amigo/term/GO:0009617"," RLK  CRK4  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  SARD1  PCC1  PAD4  CBP60G  EXO70B2  WRKY60  AT2G26440  WRKY46  HR4  WRKY70  CPK31  AT4G10500  ACD6  RING1  AT5G24210  DMR6  CNGC11  AT5G25440  WRKY51  NIMIN1  EDS16  RLP23  WRKY33  SDR3  NDR1  EDS1  SIB1  NUDT7  AT4G22305  HAE  CSA1  CNI1  AT5G45410",5
"39",7.59747737775921e-10,19,267,7.47569815297418,"GO:0001666 Response to hypoxia ","https://amigo.geneontology.org/amigo/term/GO:0001666"," AT1G66090  HSP101  SERK4  HSFA2  AT2G26190  WRKY46  GSTF8  SUS4  WRKY70  NUDT7  AT4G27280  DMR6  CNI1  CML37  AT1G57630  FLOT1  CBP60G  EDS1  PAD4",5
"40",9.29322375461055e-10,19,271,7.3653557448122,"GO:0036293 Response to decreased oxygen levels ","https://amigo.geneontology.org/amigo/term/GO:0036293"," AT1G66090  HSP101  SERK4  HSFA2  AT2G26190  WRKY46  GSTF8  SUS4  WRKY70  NUDT7  AT4G27280  DMR6  CNI1  CML37  AT1G57630  FLOT1  CBP60G  EDS1  PAD4",5
"41",3.21708562833421e-13,26,379,7.20681802221174,"GO:0140546 Defense response to symbiont ","https://amigo.geneontology.org/amigo/term/GO:0140546"," AT3G48080  EDS1  PAD4  PLDGAMMA1  NIMIN1  SARD1  PNP-A  SDR3  NDR1  NIMIN-2  HR4  CBP60G  AT5G55450  AT5G55460  AT1G09750  EDS16  PR5  AT1G17600  RLP23  LYK5  WRKY33  WRKY70  NUDT7  AT4G22305  AT5G10760  ANK",5
"42",1.62019558032969e-11,23,341,7.0857018609993,"GO:0014070 Response to organic cyclic compound ","https://amigo.geneontology.org/amigo/term/GO:0014070"," AT3G48080  EDS1  PAD4  WAK2  WRKY70  ACD6  WRKY46  AT4G14390  WAK1  NUDT6  LURP1  WRKY60  RLK  CRK4  HR4  CPK31  AT4G10500  CRK5  AT5G08760  DMR6  ANK  SERK4  PCC1",5
"43",2.90530655908975e-21,56,1185,4.96454091864401,"GO:0098542 Defense response to other organism ","https://amigo.geneontology.org/amigo/term/GO:0098542"," RLK  CRK4  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  AT3G48080  EDS1  PAD4  PLDGAMMA1  NIMIN1  SARD1  PNP-A  SDR3  NDR1  NIMIN-2  HR4  CBP60G  AT5G55450  AT5G55460  AT1G09750  EDS16  PR5  WRKY60  AT5G24210  CNI1  AT1G17600  AT5G25440  WRKY50  WRKY51  EXO70B2  WAK1  AT1G24140  AT1G49050  LURP1  RLP23  LYK5  WRKY33  WRKY46  PCC1  WRKY70  SIB1  AT4G10500  NUDT7  ACD6  AT4G22305  HAE  AT5G10760  CSA1  DMR6  AT5G45410  ANK",5
"44",1.96500350343079e-25,73,1707,4.49261038755649,"GO:0006952 Defense response ","https://amigo.geneontology.org/amigo/term/GO:0006952"," PR5  RLK  CRK4  AT4G18253  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  AT3G48080  EDS1  PAD4  PLDGAMMA1  NIMIN1  EXO70B2  AT1G12290  AT1G17600  AT1G17610  AT1G56540  AT1G66090  SARD1  EDS16  LYM2  PNP-A  SOBIR1  RLP23  WRKY33  WRKY46  SDR3  PUB24  NDR1  PCC1  NIMIN-2  AT3G44400  HR4  WRKY70  SIB1  AT3G62780  AT4G10500  AT4G14390  ACD6  AT4G22305  RING1  CSA1  DMR6  CBP60G  CNI1  AT5G35580  AT5G41550  AT5G41750  ANK  AT5G55450  AT5G55460  WRKY51  AT1G09750  WRKY60  GSTF8  AT5G24210  CNGC11  AT5G25440  WRKY50  WAK1  AT1G24140  AT1G49050  LURP1  LYK5  NUDT7  HAE  AT5G10760  AT5G45410",5
"45",2.19635691983566e-20,61,1489,4.30372541859568,"GO:0043207 Response to external biotic stimulus ","https://amigo.geneontology.org/amigo/term/GO:0043207"," RLK  CRK4  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  AT3G48080  EDS1  PAD4  SARD1  PCC1  PLDGAMMA1  CBP60G  NIMIN1  PNP-A  SDR3  NDR1  NIMIN-2  HR4  AT5G55450  AT5G55460  EXO70B2  AT1G09750  WAK1  EDS16  PR5  NUDT6  WRKY60  AT2G26440  WRKY46  WRKY70  CPK31  AT4G10500  ACD6  RING1  AT5G24210  DMR6  CNI1  AT1G17600  CNGC11  AT5G25440  WRKY50  WRKY51  AT1G24140  AT1G49050  LURP1  RLP23  LYK5  WRKY33  SIB1  NUDT7  AT4G22305  HAE  AT5G10760  CSA1  AT5G45410  ANK",5
"46",2.19635691983566e-20,61,1489,4.30372541859568,"GO:0051707 Response to other organism ","https://amigo.geneontology.org/amigo/term/GO:0051707"," RLK  CRK4  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  AT3G48080  EDS1  PAD4  SARD1  PCC1  PLDGAMMA1  CBP60G  NIMIN1  PNP-A  SDR3  NDR1  NIMIN-2  HR4  AT5G55450  AT5G55460  EXO70B2  AT1G09750  WAK1  EDS16  PR5  NUDT6  WRKY60  AT2G26440  WRKY46  WRKY70  CPK31  AT4G10500  ACD6  RING1  AT5G24210  DMR6  CNI1  AT1G17600  CNGC11  AT5G25440  WRKY50  WRKY51  AT1G24140  AT1G49050  LURP1  RLP23  LYK5  WRKY33  SIB1  NUDT7  AT4G22305  HAE  AT5G10760  CSA1  AT5G45410  ANK",5
"47",3.83781627929167e-20,61,1510,4.24387228363508,"GO:0044419 Biological proc. involved in interspecies interaction between organisms ","https://amigo.geneontology.org/amigo/term/GO:0044419"," RLK  CRK4  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  AT3G48080  EDS1  PAD4  SARD1  PCC1  PLDGAMMA1  CBP60G  NIMIN1  PNP-A  SDR3  NDR1  NIMIN-2  HR4  AT5G55450  AT5G55460  EXO70B2  AT1G09750  WAK1  EDS16  PR5  NUDT6  WRKY60  AT2G26440  WRKY46  WRKY70  CPK31  AT4G10500  ACD6  RING1  AT5G24210  DMR6  CNI1  AT1G17600  CNGC11  AT5G25440  WRKY50  WRKY51  AT1G24140  AT1G49050  LURP1  RLP23  LYK5  WRKY33  SIB1  NUDT7  AT4G22305  HAE  AT5G10760  CSA1  AT5G45410  ANK",5
"48",9.87553349475035e-14,45,1174,4.02674228046197,"GO:0006468 Protein phosphorylation ","https://amigo.geneontology.org/amigo/term/GO:0006468"," AT1G11300  AT1G11330  RK1  CRK4  CRK36  CRK37  CRK38  CRK39  CPK31  RK3  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  HAE  AT5G25440  AT5G35580  MPK11  AT1G16260  WAK3  WAK1  WAK2  AT1G34420  AT1G35710  PERK15  AT1G56120  AT1G66880  SERK4  AT2G28940  SOBIR1  LYK5  RLK  AT3G47090  MEKK3  CRK24  AT5G38250  AT5G39020  AT5G45840  CCR4  AT5G59670  AT5G59680",5
"49",5.86173630497235e-12,49,1546,3.32963024904205,"GO:0016310 Phosphorylation ","https://amigo.geneontology.org/amigo/term/GO:0016310"," AT1G11300  AT1G11330  RK1  CRK4  CRK36  CRK37  CRK38  CRK39  CPK31  RK3  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  HAE  AT5G25440  AT5G35580  MPK11  AT1G16260  WAK3  WAK1  WAK2  AT1G34420  AT1G35710  PERK15  AT1G56120  AT1G66880  SERK4  AT2G28940  SOBIR1  LYK5  RLK  AT3G47090  AT4G00955  MEKK3  AT4G18253  CRK24  AT5G38250  AT5G39020  AT5G43910  AT5G45840  CCR4  AT5G59670  AT5G59680  AT5G64910",5
"50",1.08605634113138e-09,47,1675,2.94776232903921,"GO:1901700 Response to oxygen-containing compound ","https://amigo.geneontology.org/amigo/term/GO:1901700"," APX1  5PTASE11  AT3G48080  EDS1  PAD4  WAK2  WRKY70  ACD6  RK1  GASA6  WRKY46  PCC1  AT4G14390  CBP60G  ZF1  MPK11  WAK1  NUDT6  LURP1  WRKY60  HSFA2  LYK5  RLK  WRKY33  CRK4  ASN1  HR4  CPK31  AT4G10500  NUDT7  CRK5  CRK6  CRK7  AT5G08760  DMR6  CNI1  CML37  ANK  SERK4  WRKY50  WRKY51  EXO70B2  TPL  AT2G26190  RLP23  RLP41  CRK36",5
"51",4.15675944061861e-16,93,3912,2.49743112738809,"GO:0006950 Response to stress ","https://amigo.geneontology.org/amigo/term/GO:0006950"," AT1G66090  HSP101  SERK4  HSFA2  AT2G26190  WRKY46  GSTF8  SUS4  WRKY70  NUDT7  AT4G27280  DMR6  CNI1  CML37  APX1  5PTASE11  PR5  RLK  CRK4  AT4G18253  CRK5  CRK6  CRK7  CRK10  CRK12  CRK14  CRK15  CRK23  AT4G38560  AT3G48080  EDS1  PAD4  PLDGAMMA1  NIMIN1  EXO70B2  AT1G12290  AT1G17600  AT1G17610  AT1G56540  SARD1  EDS16  LYM2  PNP-A  SOBIR1  RLP23  WRKY33  SDR3  PUB24  NDR1  PCC1  NIMIN-2  AT3G28540  AT3G44400  HR4  SIB1  AT3G62780  AT4G10500  AT4G14390  ACD6  MSRB8  AT4G22305  RING1  CSA1  CBP60G  AT5G35580  AT5G41550  AT5G41750  ANK  AT5G55450  AT5G55460  WRKY51  AT5G64910  AT1G09750  AT1G57630  WRKY60  WRKY25  ASN1  ALN  AT5G24210  FLOT1  ZF1  CNGC11  AT5G25440  WRKY50  WAK1  AT1G24140  AT1G49050  LURP1  LYK5  AT3G46110  HAE  AT5G10760  AT5G45410",5
"52",0.00682460471165926,2,7,114.405797101449,"GO:0010438 Cellular response to sulfur starvation ","https://amigo.geneontology.org/amigo/term/GO:0010438"," LSU1  ATSDI1",7
"53",0.0147670279045173,2,13,61.603121516165,"GO:2000068 Reg. of defense response to insect ","https://amigo.geneontology.org/amigo/term/GO:2000068"," AT3G14395  AT5G05600",7
"54",0.00513524460866219,3,33,36.4018445322793,"GO:0002213 Defense response to insect ","https://amigo.geneontology.org/amigo/term/GO:0002213"," AT3G14395  SAG13  AT5G05600",7
"55",0.00545620319521343,3,35,34.3217391304348,"GO:0010167 Response to nitrate ","https://amigo.geneontology.org/amigo/term/GO:0010167"," NRT1.5  AT4G15690  AT4G15700",7
"56",0.00719332280376374,3,41,29.2990455991516,"GO:2000022 Reg. of jasmonic acid mediated signaling pathway ","https://amigo.geneontology.org/amigo/term/GO:2000022"," JAZ10  AT5G05600  MYBR1",7
"57",0.00209124667087543,5,123,16.2772475550842,"GO:0009867 Jasmonic acid mediated signaling pathway ","https://amigo.geneontology.org/amigo/term/GO:0009867"," JAZ10  AT3G14395  AT5G05600  TBL37  MYBR1",7
"58",0.00209124667087543,5,128,15.6414175724638,"GO:0071395 Cellular response to jasmonic acid stimulus ","https://amigo.geneontology.org/amigo/term/GO:0071395"," JAZ10  AT3G14395  AT5G05600  TBL37  MYBR1",7
"59",0.00209124667087543,5,132,15.167435221783,"GO:0071398 Cellular response to fatty acid ","https://amigo.geneontology.org/amigo/term/GO:0071398"," JAZ10  AT3G14395  AT5G05600  TBL37  MYBR1",7
"60",0.00209124667087543,6,225,10.6778743961353,"GO:0009753 Response to jasmonic acid ","https://amigo.geneontology.org/amigo/term/GO:0009753"," JAZ10  AT3G14395  NAC2  MYBR1  AT5G05600  TBL37",7
"61",0.00209124667087543,6,229,10.4913613062464,"GO:0070542 Response to fatty acid ","https://amigo.geneontology.org/amigo/term/GO:0070542"," JAZ10  AT3G14395  NAC2  MYBR1  AT5G05600  TBL37",7
"62",0.0207396197110551,5,285,7.02491736587846,"GO:0031347 Reg. of defense response ","https://amigo.geneontology.org/amigo/term/GO:0031347"," JAZ10  SAG13  AT3G14395  AT5G05600  MYBR1",7
"63",0.0174802268995924,6,414,5.80319260659525,"GO:0080134 Reg. of response to stress ","https://amigo.geneontology.org/amigo/term/GO:0080134"," JAZ10  AGL24  SAG13  AT3G14395  AT5G05600  MYBR1",7
"64",0.0219782362961552,9,999,3.60738999869435,"GO:0033993 Response to lipid ","https://amigo.geneontology.org/amigo/term/GO:0033993"," JAZ10  MYBR1  AT3G14395  NAC2  AGL24  BAT1  AT4G34760  AT5G05600  TBL37",7
"65",0.00432409382488662,14,1675,3.34679645252001,"GO:1901700 Response to oxygen-containing compound ","https://amigo.geneontology.org/amigo/term/GO:1901700"," JAZ10  BT5  MYBR1  NRT1.5  AT3G14395  NAC2  AT4G15690  AT4G15700  AGL24  BAT1  AT4G34760  AT5G05600  TBL37  AT3G28270",7
"66",0.00752605430147689,13,1638,3.17793880837359,"GO:0009725 Response to hormone ","https://amigo.geneontology.org/amigo/term/GO:0009725"," JAZ10  MYBR1  AT2G46690  AT4G34760  AT3G14395  NAC2  AGL24  BAT1  BT5  AT5G05600  AUF1  TBL37  NTM1",7
"67",0.00752605430147689,13,1639,3.17599985852101,"GO:0009719 Response to endogenous stimulus ","https://amigo.geneontology.org/amigo/term/GO:0009719"," JAZ10  MYBR1  AT2G46690  AT4G34760  AT3G14395  NAC2  AGL24  BAT1  BT5  AT5G05600  AUF1  TBL37  NTM1",7
"68",0.0107453210512174,13,1725,3.01766015542953,"GO:0070887 Cellular response to chemical stimulus ","https://amigo.geneontology.org/amigo/term/GO:0070887"," JAZ10  MYBR1  AT2G46690  LSU1  AT4G34760  AT4G37530  AT3G14395  AT5G05600  AUF1  TBL37  AT3G28270  NTM1  MYB59",7
"69",0.001071717178199,22,2995,2.94131765502891,"GO:0042221 Response to chemical ","https://amigo.geneontology.org/amigo/term/GO:0042221"," JAZ10  YSL2  MYBR1  AT2G46690  LSU1  AT4G34760  AT4G37530  BT5  NRT1.5  AT3G14395  NAC2  AT4G15690  AT4G15700  AGL24  BAT1  CIPK5  AT5G05600  AUF1  TBL37  AT3G28270  NTM1  MYB59",7
"70",0.0147670279045173,14,2049,2.73591218056174,"GO:0007154 Cell communication ","https://amigo.geneontology.org/amigo/term/GO:0007154"," CIPK7  CIPK5  JAZ10  MYBR1  AT2G46690  AT3G05320  AT4G34760  AT5G17970  PR5K  AT3G14395  AT5G05600  AUF1  TBL37  NTM1",7
"71",0.0107453210512174,19,3266,2.32945055335162,"GO:0051716 Cellular response to stimulus ","https://amigo.geneontology.org/amigo/term/GO:0051716"," CIPK7  CIPK5  JAZ10  AT5G45720  MYBR1  AT2G46690  LSU1  AT4G34760  AT4G37530  AT5G17970  PR5K  AT3G14395  ATSDI1  AT5G05600  AUF1  TBL37  AT3G28270  NTM1  MYB59",7
"72",8.75679210115682e-07,4,16,117.072033898305,"GO:0009098 L-leucine biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0009098"," IMD1  IPMI2  BCAT3  IPMI1",8
"73",8.27321197544272e-18,11,48,107.316031073446,"GO:0016144 S-glycoside biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0016144"," CYP79F1  SOT17  SOT18  FMO GS-OX3  FMO GS-OX1  IPMI2  IPMI1  BAT5  MYB29  MYB76  IMD1",8
"74",8.27321197544272e-18,11,48,107.316031073446,"GO:0019761 Glucosinolate biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0019761"," CYP79F1  SOT17  SOT18  FMO GS-OX3  FMO GS-OX1  IPMI2  IPMI1  BAT5  MYB29  MYB76  IMD1",8
"75",9.99609285687568e-17,11,61,84.4454015004168,"GO:1901659 Glycosyl compound biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:1901659"," CYP79F1  SOT17  SOT18  FMO GS-OX3  FMO GS-OX1  IPMI2  IPMI1  BAT5  MYB29  MYB76  IMD1",8
"76",1.38679260624662e-13,11,121,42.5716486902928,"GO:0016143 S-glycoside metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0016143"," CYP79F1  SOT17  SOT18  FMO GS-OX3  FMO GS-OX1  IPMI2  IPMI1  BAT5  MYB29  MYB76  IMD1",8
"77",1.38679260624662e-13,11,121,42.5716486902928,"GO:0019760 Glucosinolate metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0019760"," CYP79F1  SOT17  SOT18  FMO GS-OX3  FMO GS-OX1  IPMI2  IPMI1  BAT5  MYB29  MYB76  IMD1",8
"78",8.83884551401956e-15,13,179,34.0097528643121,"GO:0044272 Sulfur compound biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0044272"," CYP79F1  AT1G72810  SOT17  SOT18  AKN2  FMO GS-OX3  FMO GS-OX1  IPMI2  IPMI1  BAT5  MYB29  MYB76  IMD1",8
"79",3.12156627441824e-12,11,164,31.409570070277,"GO:1901657 Glycosyl compound metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:1901657"," CYP79F1  SOT17  SOT18  FMO GS-OX3  FMO GS-OX1  IPMI2  IPMI1  BAT5  MYB29  MYB76  IMD1",8
"80",9.36385126642082e-08,8,166,22.5681029201552,"GO:0170034 L-amino acid biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0170034"," AT1G72810  AK3  IMD1  ASN2  IPMI2  BCAT3  IPMI1  AKN2",8
"81",9.36385126642082e-08,8,166,22.5681029201552,"GO:0170038 Proteinogenic amino acid biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0170038"," AT1G72810  AK3  IMD1  ASN2  IPMI2  BCAT3  IPMI1  AKN2",8
"82",3.90473869676926e-07,8,203,18.4547048509643,"GO:1901607 Alpha-amino acid biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:1901607"," AT1G72810  AK3  IMD1  ASN2  IPMI2  BCAT3  IPMI1  AKN2",8
"83",3.38296426076178e-13,15,402,17.4734378952694,"GO:0006790 Sulfur compound metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006790"," CYP79F1  SOT17  AT1G72810  SOT18  GSTU20  AKN2  GSTF11  FMO GS-OX3  FMO GS-OX1  IPMI2  IPMI1  BAT5  MYB29  MYB76  IMD1",8
"84",8.1071747596528e-07,8,228,16.4311626523937,"GO:0008652 Amino acid biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0008652"," AT1G72810  AK3  IMD1  ASN2  IPMI2  BCAT3  IPMI1  AKN2",8
